CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
72051540600,957,0,0,1005,1005,1962
72051540700,1256,0,0,884,884,2140
72053150102,25,4,0,722,726,751
72053150105,14,2,107,688,797,811
72053150106,170,0,605,23,628,798
72053150200,431,67,0,1160,1227,1658
72053150301,185,363,0,380,743,928
72053150302,206,165,2,250,417,623
72053150400,247,72,308,762,1142,1389
72053150500,89,564,0,848,1412,1501
72053150601,99,0,0,1073,1073,1172
72053150602,908,0,359,986,1345,2253
72054580100,578,101,0,1577,1678,2256
72054580200,169,11,0,2033,2044,2213
72055960900,1663,0,0,257,257,1920
72055961000,1175,0,0,34,34,1209
72055961100,257,0,42,1089,1131,1388
72055961200,126,0,0,469,469,595
72055961300,353,23,0,191,214,567
72055961400,144,0,26,462,488,632
72055961500,228,0,342,801,1143,1371
72057270100,2490,0,0,73,73,2563
72057270201,1627,0,0,956,956,2583
72057270202,1245,0,44,204,248,1493
72057270300,1396,0,267,506,773,2169
72057270400,212,387,0,109,496,708
72057270500,175,21,0,1633,1654,1829
72057270600,254,413,0,455,868,1122
72057270700,327,0,916,120,1036,1363
72057270800,125,522,0,1076,1598,1723
72059740101,772,0,0,210,210,982
72059740102,834,0,0,594,594,1428
72059740200,368,0,0,1210,1210,1578
72059740300,241,0,0,748,748,989
72059740400,744,0,0,1476,1476,2220
72061040101,133,24,0,684,708,841
72061040102,57,295,0,387,682,739
72061040103,37,175,0,312,487,524
72061040200,687,58,10,940,1008,1695
72061040301,8,31,0,232,263,271
72061040302,111,36,0,240,276,387
72061040303,15,48,0,222,270,285
72061040304,112,54,0,1314,1368,1480
72061040411,57,56,0,974,1030,1087
72061040412,14,12,0,555,567,581
72061040422,58,15,0,613,628,686
72061040432,68,0,0,874,874,942
72061040442,106,29,0,820,849,955
72061040443,125,44,0,680,724,849
72061040444,21,49,0,630,679,700
72061040445,25,34,0,668,702,727
72061040446,73,37,0,909,946,1019
72061040500,431,39,0,178,217,648
72061040601,119,54,0,1284,1338,1457
72061040603,19,15,0,1126,1141,1160
72061040604,70,13,0,1053,1066,1136
72061040701,706,0,0,300,300,1006
72061040702,437,48,0,1215,1263,1700
72061040800,1380,0,0,0,0,1380
72061040900,906,9,0,492,501,1407
72061041000,204,2,0,748,750,954
72061041100,538,0,0,1114,1114,1652
72063210100,1827,0,0,0,0,1827
72063210201,437,0,0,641,641,1078
